id,name,productcode,description,isactive,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,family,currencyisocode,isdeleted,lastvieweddate,lastreferenceddate,potential_for_predix__c,predix__c,software__c,source_product_id__c,source_system_name__c,tier_1_business__c,tier_2_business__c,tier_3_business__c,id_18_digit__c,edl_is_deleted,edl_last_updated_date,value
01t61000001ork4AAA,ST-5211,ST-5211,"RSTi Serial Interface module RS-232C, 1 Channel",true,2016-04-08T10:38:17.000Z,00561000001EDJ0AAO,2017-02-20T05:02:54.000Z,00561000001EDJ0AAO,2017-02-20T05:02:54.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BYwMIAW,Digital Org,Digital,Controls,"",01t61000001ork4AAA,0,2017-02-14 11:00:16-05,549.0730
01t61000001ooRKAAY,IC695CMM004LT,IC695CMM004LT,Low Temperature Tested (-40 to 60C) RX3i serial communications module. Four isolated RS-232/485 port.  Supports Serial Read/Write and Modbus Master/Slave.  Requires Unversal Backplane.,true,2016-04-08T10:37:24.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003lO14IAE,Digital Org,Digital,Controls,"",01t61000001ooRKAAY,0,2017-02-14 11:00:16-05,3854.160
01t61000001oreMAAQ,TRRM922RC-1,TRRM922RC-1,12 port Rear Transition Module for RM982RC or RM980RC,true,2016-04-08T10:38:16.000Z,00561000001EDJ0AAO,2017-01-07T05:03:29.000Z,00561000001EDJ0AAO,2017-01-07T05:03:29.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BZehIAG,Digital Org,Digital,Mil/Aero,"",01t61000001oreMAAQ,0,2017-02-14 11:00:16-05,1280.000
01t61000001ooyCAAQ,IC754CBF12CTD,IC754CBF12CTD,CONTROL 64MB/64MB 12IN COLOR TFT BLANK,false,2016-04-08T10:37:31.000Z,00561000001EDJ0AAO,2017-02-20T05:02:36.000Z,00561000001EDJ0AAO,2017-02-20T05:02:36.000Z,OI,USD,false,"","",false,false,false,01tC0000003BYkrIAG,Digital Org,Digital,Controls,"",01t61000001ooyCAAQ,0,2017-02-14 11:00:16-05,6018.000
01t61000001ostGAAQ,CONQPMC-1,CONQPMC-1,"TRANSITIONS FROM SINGLE CHANNEL QPMC, QPCI, QCP, QPM, EPMC WITH A SCSI-3 68 PIN (MALE) TO TWO CJ70 TWINAX, 3 LUG, 1553 CABLE JACK ENDS AND ONE DB50 (FEMALE) FOR ADDITIONAL I/O",true,2016-04-08T10:38:55.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003BaCkIAK,Digital Org,Digital,Embedded,"",01t61000001ostGAAQ,0,2017-02-14 11:00:16-05,7997.000
01t61000001opAEAAY,PMC-0247RC-001203,PMC-0247RC-001203,"SATA II 32GByte Solid State Disk Drive (0 to 70 degrees C), RoHS, 135MB/s Read, 105MB/s Write Performance, polyurethane conformal coating on the PMC-0247RC asembly (the SSD is not conformally coated)",true,2016-04-08T10:37:43.000Z,00561000001EDJ0AAO,2017-01-07T05:02:48.000Z,00561000001EDJ0AAO,2017-01-07T05:02:48.000Z,Communications,USD,false,"","",false,false,false,01tC0000003Bc12IAC,Digital Org,Digital,Control & Comm Systems,"",01t61000001opAEAAY,0,2017-02-14 11:00:16-05,22792.800
01t61000001orPFAAY,VMIVME-2120-122000,VMIVME-2120-122000,"VME 6U, 64 Channels, High Voltage Digital Output with Built-in-Test, Positive True Data Polarity, Electronic Switch Output, Automatic Surge Current Shutdown Protection, 6.8K Pull-Up, 24V Range",true,2016-04-08T10:38:13.000Z,00561000001EDJ0AAO,2017-01-07T05:03:27.000Z,00561000001EDJ0AAO,2017-01-07T05:03:27.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BauRIAS,Digital Org,Digital,Mil/Aero,"",01t61000001orPFAAY,0,2017-02-14 11:00:16-05,1165.000
01t61000001orSRAAY,IC694MDL730,IC694MDL730,OUTPUT MODULE 12/24 VDC 2AMPS 8 POINTS POSIVIVE LOGIC,true,2016-04-08T10:38:14.000Z,00561000001EDJ0AAO,2017-02-20T05:02:53.000Z,00561000001EDJ0AAO,2017-02-20T05:02:53.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003lHIyIAM,Digital Org,Digital,Controls,"",01t61000001orSRAAY,0,2017-02-14 11:00:16-05,224.000
01t61000001os0rAAA,BTA-USB-1605W,BTA-USB-1605W,ARINC 429 BUS ANALYZER BUNDLE (INCLUDES RAR-USB-1605W HARDWARE AND BT-ARINC SOFTWARE),true,2016-04-08T10:38:43.000Z,00561000001EDJ0AAO,2017-01-07T05:03:31.000Z,00561000001EDJ0AAO,2017-01-07T05:03:31.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003mMjlIAE,Digital Org,Digital,Mil/Aero,"",01t61000001os0rAAA,0,2017-02-14 11:00:16-05,6897.000
01t61000001osrrAAA,CONA615-7,CONA615-7,"CBL, DATA LOADER (615 CABLE CONNECTOR TO EEC CONNECTOR)",true,2016-04-08T10:38:55.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003BaEGIA0,Digital Org,Digital,Embedded,"",01t61000001osrrAAA,0,2017-02-14 11:00:16-05,4212.000
01t61000001oo9OAAQ,TVXW-CRCT12-01M,TVXW-CRCT12-01M,CR12/CT12 BSP/ESP Maint for Wbench/VxW6,true,2016-04-08T10:37:19.000Z,00561000001EDJ0AAO,2017-01-07T05:02:41.000Z,00561000001EDJ0AAO,2017-01-07T05:02:41.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BcLKIA0,Digital Org,Digital,Mil/Aero,"",01t61000001oo9OAAQ,0,2017-02-14 11:00:16-05,5134.000
01t61000001op3tAAA,PMCGA4,PMCGA4,Generic PMCGA4-xxxxxx  GRAPHICS PMC,false,2016-04-08T10:37:32.000Z,00561000001EDJ0AAO,2017-01-07T05:02:47.000Z,00561000001EDJ0AAO,2017-01-07T05:02:47.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003Bd7VIAS,Digital Org,Digital,Mil/Aero,"",01t61000001op3tAAA,0,2017-02-14 11:00:16-05,688850.000
01t61000001oszbAAA,CEI-LV,CEI-LV,LABVIEW FOR ARINC PRODUCTS UNDER SELECT VERSIONS OF MICROSOFT WINDOWS,true,2016-04-08T10:38:56.000Z,00561000001EDJ0AAO,2017-01-07T05:03:35.000Z,00561000001EDJ0AAO,2017-01-07T05:03:35.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003BaDMIA0,Digital Org,Digital,Mil/Aero,"",01t61000001oszbAAA,0,2017-02-14 11:00:16-05,3553.4600
01t61000001osoLAAQ,XMCGA7-4PV000,XMCGA7-4PV000,"GRAPHICS XMC with AMD E6460 graphics processing unit, Level 4, PMC (P14) IO, 2x DVI, 2x VGA, Standard Video BIOS",false,2016-04-08T10:38:54.000Z,00561000001EDJ0AAO,2017-01-07T05:03:33.000Z,00561000001EDJ0AAO,2017-01-07T05:03:33.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003C5BmIAK,Digital Org,Digital,Mil/Aero,"",01t61000001osoLAAQ,0,2017-02-14 11:00:16-05,16560.000
01t61000001ooQkAAI,RAR-PCIE-88J,RAR-PCIE-88J,"ARINC 429 INTELLIGENT 4 LANE PCI EXPRESS CARD WITH 8 RX, 8 TX CHANNELS; 1 RX, 1 TX DUAL-MODE ARINC 717 CHANNELS; ROHS COMPLIANT",true,2016-04-08T10:37:24.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003Bc7aIAC,Digital Org,Digital,Mil/Aero,"",01t61000001ooQkAAI,0,2017-02-14 11:00:16-05,27370.000
01t61000001ooL8AAI,MEDIA-CSENSE,MEDIA-CSENSE,MEDIA FOR PROFICY CSENSE,true,2016-04-08T10:37:23.000Z,00561000001EDJ0AAO,2017-02-21T05:02:21.000Z,00561000001EDJ0AAO,2017-02-21T05:02:21.000Z,Asset Performance Management,USD,false,"","",false,false,true,01tC0000003mI71IAE,Digital Org,Digital,GE Digital Core,"",01t61000001ooL8AAI,0,2017-02-14 11:00:16-05,47.5410
01t61000001opwkAAA,IP-DAC,IP-DAC,"6-CH, 12-bit DAC",true,2016-04-08T10:37:55.000Z,00561000001EDJ0AAO,2017-01-07T05:03:19.000Z,00561000001EDJ0AAO,2017-01-07T05:03:19.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BY5FIAW,Digital Org,Digital,Mil/Aero,"",01t61000001opwkAAA,0,2017-02-14 11:00:16-05,12486.000
01t61000001oss1AAA,Other MAP I/O-Config,Other MAP I/O-Config,This part number should be used for parts in the Other MAP I/O product group which do not have part number listed in the Pricebook,true,2016-04-08T10:38:55.000Z,00561000001EDJ0AAO,2016-04-08T10:38:55.000Z,00561000001EDJ0AAO,2016-04-08T10:38:55.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BlpOIAS,Digital Org,Digital,Embedded,"",01t61000001oss1AAA,0,2017-02-14 11:00:16-05,136019.000
01t61000001oolkAAA,XVR15-14210120,XVR15-14210120,"6U VME single slot with 3rd Generation Core i7 (Quad Core) 2.3GHz, 8GB DDR3, 8GB NAND Flash, no DVI1 rear, w/GPIO(7..0) rear, 2x GigE Front, w/PMC2, w/XMC2, partly PMC2-I/O, w/DVI2 rear, w/2xSATA rear, no on-board drive, Level 1, Commercial, Air Cooled",true,2016-04-08T10:37:28.000Z,00561000001EDJ0AAO,2017-01-07T05:02:45.000Z,00561000001EDJ0AAO,2017-01-07T05:02:45.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BczqIAC,Digital Org,Digital,Mil/Aero,"",01t61000001oolkAAA,0,2017-02-14 11:00:16-05,5335.000
01t61000001osvMAAQ,CEI-520A-22,CEI-520A-22,"ARINC 429 INTELLIGENT PCI CARD WITH 2 RX, 2 TX CHANNELS, NO DISCRETES",true,2016-04-08T10:38:55.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003Ba7BIAS,Digital Org,Digital,Embedded,"",01t61000001osvMAAQ,0,2017-02-14 11:00:16-05,77105.7260
01t61000002keoyAAA,ATP-MMS,ATP-MMS,ATP IEC 61850/MMS Test Suite,true,2016-10-23T04:01:53.000Z,00561000001EDJ0AAO,2017-02-21T05:02:17.000Z,00561000001EDJ0AAO,2017-02-21T05:02:17.000Z,Cyber,USD,false,"","",false,false,false,01t1A000004shmWQAQ,Digital Org,Digital,GE Digital Core,"",01t61000002keoyAAA,0,2017-02-14 11:00:16-05,1797.000
01t61000001oofMAAQ,IC695CPK330,IC695CPK330,RX3I CPE330 WITH ENERGY PACK,true,2016-04-08T10:37:27.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000004KRAfIAO,Digital Org,Digital,Controls,"",01t61000001oofMAAQ,0,2017-02-14 11:00:16-05,67810.5840
01t61000001oodkAAA,IC755ACC12PRO,IC755ACC12PRO,"QUICK PANEL+ 12"" SCREEN PROTECTORS (3)",true,2016-04-08T10:37:27.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,OI,USD,false,"","",false,false,false,01tC0000003uTsQIAU,Digital Org,Digital,Controls,"",01t61000001oodkAAA,0,2017-02-14 11:00:16-05,170.000
01t61000002keouAAA,ATP-L2-M,ATP-L2-M,ATP ACC Level 2 Test Suite Annual Maintanence,true,2016-10-23T04:01:53.000Z,00561000001EDJ0AAO,2017-02-21T05:02:17.000Z,00561000001EDJ0AAO,2017-02-21T05:02:17.000Z,Cyber,USD,false,"","",false,false,false,01t1A000004shmSQAQ,Digital Org,Digital,GE Digital Core,"",01t61000002keouAAA,0,2017-02-14 11:00:16-05,4790.000
01t61000001ooK8AAI,SLIN-SBC622-0YUC,SLIN-SBC622-0YUC,SBC622 [I6UVPX] Software Development Kit for Linux SEE NOTES FOR VERSIONS AND DETAILS,true,2016-04-08T10:37:23.000Z,00561000001EDJ0AAO,2017-01-07T05:02:43.000Z,00561000001EDJ0AAO,2017-01-07T05:02:43.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BcGJIA0,Digital Org,Digital,Mil/Aero,"",01t61000001ooK8AAI,0,2017-02-14 11:00:16-05,2100.000
01t61000001ostyAAA,ICRXIACCIDM01A,ICRXIACCIDM01A,RXi Intelligent Display,true,2016-04-08T10:38:55.000Z,00561000001EDJ0AAO,2017-02-20T05:02:58.000Z,00561000001EDJ0AAO,2017-02-20T05:02:58.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003Bn1VIAS,Digital Org,Digital,Controls,"",01t61000001ostyAAA,0,2017-02-14 11:00:16-05,1598.632
01t61000001ort6AAA,RM981RC-1200000-IND,RM981RC-1200000-IND,"Unmanaged Switch with (12) 10/100/1000BaseT Front I/O ports, Industrial temperature",false,2016-04-08T10:38:41.000Z,00561000001EDJ0AAO,2017-01-07T05:03:31.000Z,00561000001EDJ0AAO,2017-01-07T05:03:31.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BZjWIAW,Digital Org,Digital,Mil/Aero,"",01t61000001ort6AAA,0,2017-02-14 11:00:16-05,5993.900
01t61000001oqxtAAA,IC693MDL646,IC693MDL646,"24 Vdc Input, Neg/Pos Logic, 1 msec Filter (16 points)",true,2016-04-08T10:38:07.000Z,00561000001EDJ0AAO,2017-02-20T05:02:53.000Z,00561000001EDJ0AAO,2017-02-20T05:02:53.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BWcDIAW,Digital Org,Digital,Controls,"",01t61000001oqxtAAA,0,2017-02-14 11:00:16-05,522.792
01t61000001ooGPAAY,CTM22A100,CTM22A100,"6U I/O transition module for XCR14 with onboard SATA 2 / 5 cable connector, USB 2 / 3, COM 1, VGA display 1, eSATA 3, Audio, no SATA HDD onboard, no coating",true,2016-04-08T10:37:21.000Z,00561000001EDJ0AAO,2017-01-07T05:02:42.000Z,00561000001EDJ0AAO,2017-01-07T05:02:42.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BccSIAS,Digital Org,Digital,Mil/Aero,"",01t61000001ooGPAAY,0,2017-02-14 11:00:16-05,21893.600
01t61000001ooX0AAI,SLIA-VPXC3-01M,SLIA-VPXC3-01M,VPXC3 'Advantage' Linux SDK Maintenance.  SEE NOTES FOR DETAILS,true,2016-04-08T10:37:26.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003uYfPIAU,Digital Org,Digital,Mil/Aero,"",01t61000001ooX0AAI,0,2017-02-14 11:00:16-05,20266.400
01t61000001op5MAAQ,C-CBL000118-001,C-CBL000118-001,"Cable, VXS24, Serial, 3-Way",true,2016-04-08T10:37:32.000Z,00561000001EDJ0AAO,2017-01-07T05:02:47.000Z,00561000001EDJ0AAO,2017-01-07T05:02:47.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BbBNIA0,Digital Org,Digital,Mil/Aero,"",01t61000001op5MAAQ,0,2017-02-14 11:00:16-05,2544.8500
01t61000001ooh0AAA,IC755CSS12CDB-AA,IC755CSS12CDB-AA,"12"" COLOR QP+ WITH VIEW & CTRL,DUAL ETH",true,2016-04-08T10:37:27.000Z,00561000001EDJ0AAO,2016-04-08T10:37:27.000Z,00561000001EDJ0AAO,2016-04-08T10:37:27.000Z,OI,USD,false,"","",false,false,false,01tC0000004IHX7IAO,Digital Org,Digital,Controls,"",01t61000001ooh0AAA,0,2017-02-14 11:00:16-05,2900.000
01t61000001emrrAAA,ATP Profinet Test Suite,ATP-PROF,Profinet Protocol Test Suite,true,2016-05-19T05:02:26.000Z,00561000001EDJ0AAO,2016-05-19T05:02:26.000Z,00561000001EDJ0AAO,2016-05-19T05:02:26.000Z,Cyber,USD,false,"","",false,false,false,01t1A000004iJU6QAM,Digital Org,Digital,Solutions,"",01t61000001emrrAAA,0,2017-02-14 11:00:16-05,3597.000
01t61000001ot8dAAA,CBL-000-F5-004,CBL-000-F5-004,"Simplex Fiber Optic Cable, LC-LC Connectors, Multi-mode, 25 feet (7.62 m)",true,2016-04-08T10:38:58.000Z,00561000001EDJ0AAO,2017-01-07T05:03:36.000Z,00561000001EDJ0AAO,2017-01-07T05:03:36.000Z,Communications,USD,false,"","",false,false,false,01tC0000003Ba9XIAS,Digital Org,Digital,Control & Comm Systems,"",01t61000001ot8dAAA,0,2017-02-14 11:00:16-05,8694.000
01t61000001osqIAAQ,CEI-830-44,CEI-830-44,"ARINC 429 INTELLIGENT PMC CARD WITH 4 RX/4 TX CHANNELS, FP&P14 I/O",false,2016-04-08T10:38:54.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,00561000001EDJ0AAO,2017-01-07T05:03:34.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003BaCsIAK,Digital Org,Digital,Mil/Aero,"",01t61000001osqIAAQ,0,2017-02-14 11:00:16-05,3600.000
01t610000028vthAAA,Device Security Assessment,DSA,"",true,2016-04-23T05:01:46.000Z,00561000001EDJ0AAO,2016-07-19T04:01:18.000Z,00561000001EDJ0AAO,2016-07-19T04:01:18.000Z,Cyber,USD,false,"","",false,false,false,01t1A000004VNbpQAG,Digital Org,Digital,Solutions,"",01t610000028vthAAA,0,2017-02-14 11:00:16-05,384141.5100
01t61000001opkeAAA,IC694DSM324,IC694DSM324,DSM324 motion controller module for the RX3i,true,2016-04-08T10:37:51.000Z,00561000001EDJ0AAO,2017-02-20T05:02:41.000Z,00561000001EDJ0AAO,2017-02-20T05:02:41.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BYBcIAO,Digital Org,Digital,Controls,"",01t61000001opkeAAA,0,2017-02-14 11:00:16-05,187616.000
01t61000001ooS0AAI,CON1553BC3,CON1553BC3,"MIL-STD-1553 TRI STUB, TRANSFORMER BUS COUPLER WITH 3 LUG JACK CONNECTORS",true,2016-04-08T10:37:24.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000004IPCcIAO,Digital Org,Digital,Embedded,"",01t61000001ooS0AAI,0,2017-02-14 11:00:16-05,2640.000
01t61000001orzJAAQ,IC200UEX011,IC200UEX011,"14 point Exp.(8) 24VDC In, (6) Relay Out, 120V/240AC Power Supply (inc ludes IC200CBL501)",true,2016-04-08T10:38:43.000Z,00561000001EDJ0AAO,2017-02-20T05:02:55.000Z,00561000001EDJ0AAO,2017-02-20T05:02:55.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BX5nIAG,Digital Org,Digital,Controls,"",01t61000001orzJAAQ,0,2017-02-14 11:00:16-05,246.6200
01t61000001osjvAAA,COML IPC,"","",true,2016-04-08T10:38:52.000Z,00561000001EDJ0AAO,2016-04-08T10:38:52.000Z,00561000001EDJ0AAO,2016-04-08T10:38:52.000Z,OI & IPC,USD,false,"","",false,false,false,01tC00000038u19IAA,Digital Org,Digital,Control & Comm Systems,"",01t61000001osjvAAA,0,2017-02-14 11:00:16-05,1671497.840
01t61000001ooQdAAI,QCP-1553C-4SARW,QCP-1553C-4SARW,"MIL-STD-1553 SINGLE-FUNCTION, FOUR DUAL-REDUNDANT CHANNEL, FIXED VOLTAGE, REGGED, 3U COMPACTPCI INTERFACE BOARD WITH IRIG.",true,2016-04-08T10:37:24.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,00561000001EDJ0AAO,2017-01-07T05:02:44.000Z,AVIONICS,USD,false,"","",false,false,false,01tC0000003Bc8oIAC,Digital Org,Digital,Embedded,"",01t61000001ooQdAAI,0,2017-02-14 11:00:16-05,8497.800
